Date : 2026-05-28 09:10:25
Directory : c:\BachKhoa\Kbase
Total : 118 files,  11779 codes, 166 comments, 814 blanks, all 12759 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\BachKhoa\Kbase\BE\api-gateway\pom.xml                                                                         | XML                |         68 |          0 |          1 |         69 |
| c:\BachKhoa\Kbase\BE\api-gateway\src\main\java\com\kbase\gateway\ApiGatewayApplication.java                      | Java               |         11 |          0 |          3 |         14 |
| c:\BachKhoa\Kbase\BE\api-gateway\src\main\java\com\kbase\gateway\security\JwtAuthenticationFilter.java           | Java               |         65 |          0 |         10 |         75 |
| c:\BachKhoa\Kbase\BE\api-gateway\src\main\resources\application.yml                                              | YAML               |         62 |          0 |          5 |         67 |
| c:\BachKhoa\Kbase\BE\document-service\Dockerfile                                                                 | Docker             |         10 |          0 |          2 |         12 |
| c:\BachKhoa\Kbase\BE\document-service\pom.xml                                                                    | XML                |         34 |          0 |          1 |         35 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\DocumentServiceApplication.java           | Java               |         11 |          0 |          3 |         14 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\common\ResponseTemplate.java              | Java               |         10 |          0 |          4 |         14 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\config\RestClientConfig.java              | Java               |         11 |          0 |          3 |         14 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\config\S3Config.java                      | Java               |         18 |          0 |          4 |         22 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\controller\DocumentController.java        | Java               |         71 |          0 |         10 |         81 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\dto\DocumentReadUrlResponse.java          | Java               |          4 |          0 |          3 |          7 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\dto\DocumentResponse.java                 | Java               |         14 |          0 |          2 |         16 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\dto\ProjectPermissionResponse.java        | Java               |         11 |          0 |          2 |         13 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\dto\UpdateDocumentRequest.java            | Java               |          8 |          0 |          3 |         11 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\exception\BadRequestException.java        | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\exception\GlobalExceptionHandler.java     | Java               |         33 |          0 |          6 |         39 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\exception\ResourceNotFoundException.java  | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\model\Document.java                       | Java               |         46 |          0 |         14 |         60 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\repository\DocumentRepository.java        | Java               |          7 |          0 |          3 |         10 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\service\DocumentService.java              | Java               |         99 |          0 |         13 |        112 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\service\ProjectPermissionClient.java      | Java               |         57 |          0 |          9 |         66 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\java\com\kbase\document\service\S3StorageService.java             | Java               |         84 |          0 |         10 |         94 |
| c:\BachKhoa\Kbase\BE\document-service\src\main\resources\application.properties                                  | Java Properties    |         17 |          0 |          7 |         24 |
| c:\BachKhoa\Kbase\BE\eureka-server\Dockerfile                                                                    | Docker             |         10 |          0 |          2 |         12 |
| c:\BachKhoa\Kbase\BE\eureka-server\pom.xml                                                                       | XML                |         42 |          0 |          1 |         43 |
| c:\BachKhoa\Kbase\BE\eureka-server\src\main\java\com\kbase\eureka\EurekaServerApplication.java                   | Java               |         11 |          0 |          3 |         14 |
| c:\BachKhoa\Kbase\BE\eureka-server\src\main\resources\application.properties                                     | Java Properties    |          5 |          0 |          2 |          7 |
| c:\BachKhoa\Kbase\BE\project-service\Dockerfile                                                                  | Docker             |         10 |          0 |          2 |         12 |
| c:\BachKhoa\Kbase\BE\project-service\pom.xml                                                                     | XML                |         34 |          0 |          1 |         35 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\ProjectServiceApplication.java              | Java               |         11 |          0 |          3 |         14 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\common\ResponseTemplate.java                | Java               |         10 |          0 |          4 |         14 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\controller\ProjectController.java           | Java               |         85 |          0 |         15 |        100 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\AddMemberRequest.java                   | Java               |         12 |          0 |          3 |         15 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\CreateProjectRequest.java               | Java               |          5 |          0 |          3 |          8 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\InviteMemberRequest.java                | Java               |         12 |          0 |          3 |         15 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectInvitationResponse.java          | Java               |         17 |          0 |          3 |         20 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectMemberResponse.java              | Java               |         13 |          0 |          3 |         16 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectPermissionResponse.java          | Java               |         11 |          0 |          2 |         13 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\ProjectResponse.java                    | Java               |          3 |          0 |          2 |          5 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\dto\UpdateProjectRequest.java               | Java               |          5 |          0 |          3 |          8 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\BadRequestException.java          | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\ForbiddenException.java           | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\GlobalExceptionHandler.java       | Java               |         34 |          0 |          7 |         41 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\exception\ResourceNotFoundException.java    | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\InvitationStatus.java                 | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\MemberRole.java                       | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\Project.java                          | Java               |         36 |          0 |          9 |         45 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\ProjectInvitation.java                | Java               |         53 |          0 |         16 |         69 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\ProjectMember.java                    | Java               |         39 |          0 |         11 |         50 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\model\ProjectMemberId.java                  | Java               |         21 |          0 |          4 |         25 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\repository\ProjectInvitationRepository.java | Java               |         11 |          0 |          3 |         14 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\repository\ProjectMemberRepository.java     | Java               |          9 |          0 |          3 |         12 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\repository\ProjectRepository.java           | Java               |          7 |          0 |          3 |         10 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\service\EmailService.java                   | Java               |         57 |          0 |         10 |         67 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\java\com\kbase\project\service\ProjectService.java                 | Java               |        261 |          0 |         26 |        287 |
| c:\BachKhoa\Kbase\BE\project-service\src\main\resources\application.properties                                   | Java Properties    |         20 |          0 |          6 |         26 |
| c:\BachKhoa\Kbase\BE\user-service\Dockerfile                                                                     | Docker             |         10 |          0 |          2 |         12 |
| c:\BachKhoa\Kbase\BE\user-service\pom.xml                                                                        | XML                |         43 |          0 |          1 |         44 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\UserServiceApplication.java                       | Java               |         11 |          0 |          3 |         14 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\common\ResponseTemplate.java                      | Java               |         10 |          0 |          4 |         14 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\config\SecurityConfig.java                        | Java               |         20 |          0 |          4 |         24 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\controller\AuthController.java                    | Java               |         28 |          0 |          6 |         34 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\controller\UserController.java                    | Java               |         39 |          0 |          8 |         47 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\AuthResponse.java                             | Java               |          3 |          0 |          2 |          5 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\LoginRequest.java                             | Java               |          5 |          0 |          3 |          8 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\RegisterRequest.java                          | Java               |         13 |          0 |          3 |         16 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\UpdateProfileRequest.java                     | Java               |          5 |          0 |          3 |          8 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\UserResponse.java                             | Java               |          4 |          0 |          3 |          7 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\exception\BadRequestException.java                | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\exception\GlobalExceptionHandler.java             | Java               |         32 |          0 |          6 |         38 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\exception\ResourceNotFoundException.java          | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\model\User.java                                   | Java               |         46 |          0 |         11 |         57 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\model\UserRole.java                               | Java               |          6 |          0 |          2 |          8 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\repository\UserRepository.java                    | Java               |          8 |          0 |          3 |         11 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\service\JwtService.java                           | Java               |         31 |          0 |          5 |         36 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\service\UserService.java                          | Java               |         74 |          0 |         10 |         84 |
| c:\BachKhoa\Kbase\BE\user-service\src\main\resources\application.properties                                      | Java Properties    |         14 |          0 |          5 |         19 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\Dockerfile                                                                   | Docker             |         16 |          1 |          3 |         20 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\next-env.d.ts                                                                | TypeScript         |          1 |          4 |          2 |          7 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\next.config.mjs                                                              | JavaScript         |          4 |          1 |          2 |          7 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\package-lock.json                                                            | JSON               |      7,037 |          0 |          1 |      7,038 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\package.json                                                                 | JSON               |         34 |          0 |          1 |         35 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\postcss.config.js                                                            | JavaScript         |          6 |          0 |          1 |          7 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\app\globals.css                                                          | PostCSS            |         17 |          0 |          4 |         21 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\app\invitations\accept\page.tsx                                          | TypeScript JSX     |         70 |          0 |         10 |         80 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\app\layout.tsx                                                           | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\app\page.tsx                                                             | TypeScript JSX     |          4 |          0 |          2 |          6 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\HomeShell.tsx                                                 | TypeScript JSX     |         93 |          0 |          9 |        102 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\Providers.tsx                                                 | TypeScript JSX     |         37 |          0 |          3 |         40 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\auth\LoginForm.tsx                                            | TypeScript JSX     |         85 |          4 |          9 |         98 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\auth\RegisterForm.tsx                                         | TypeScript JSX     |        121 |         16 |         12 |        149 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\projects\DocumentUpload.tsx                                   | TypeScript JSX     |        260 |          0 |         21 |        281 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\projects\ProjectDashboard.tsx                                 | TypeScript JSX     |        134 |          9 |         16 |        159 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\projects\ProjectDetail.tsx                                    | TypeScript JSX     |         45 |          0 |          6 |         51 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\components\projects\ProjectMembers.tsx                                   | TypeScript JSX     |        177 |          0 |         16 |        193 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\lib\api.ts                                                               | TypeScript         |         23 |          0 |          4 |         27 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\lib\types.ts                                                             | TypeScript         |         65 |          0 |          7 |         72 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\store\authSlice.ts                                                       | TypeScript         |         77 |          0 |          9 |         86 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\store\hooks.ts                                                           | TypeScript         |          4 |          0 |          2 |          6 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\store\projectSlice.ts                                                    | TypeScript         |         50 |          0 |          7 |         57 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\src\store\store.ts                                                           | TypeScript         |         11 |          0 |          3 |         14 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\tailwind.config.ts                                                           | TypeScript         |         17 |          0 |          3 |         20 |
| c:\BachKhoa\Kbase\FE\kbase-frontend\tsconfig.json                                                                | JSON with Comments |         41 |          0 |          1 |         42 |
| c:\BachKhoa\Kbase\README.md                                                                                      | Markdown           |         30 |          0 |         10 |         40 |
| c:\BachKhoa\Kbase\TRAINING\TRAINING\BackEnd.md                                                                   | Markdown           |        342 |          0 |         89 |        431 |
| c:\BachKhoa\Kbase\TRAINING\TRAINING\Database.md                                                                  | Markdown           |        180 |          0 |         31 |        211 |
| c:\BachKhoa\Kbase\TRAINING\TRAINING\FrontEnd.md                                                                  | Markdown           |        333 |          0 |         71 |        404 |
| c:\BachKhoa\Kbase\TRAINING\TRAINING\Training.md                                                                  | Markdown           |         87 |          0 |         33 |        120 |
| c:\BachKhoa\Kbase\database\init\00-create-databases.sql                                                          | MS SQL             |          3 |          0 |          1 |          4 |
| c:\BachKhoa\Kbase\database\init\01-user-schema.sql                                                               | MS SQL             |         13 |          0 |          3 |         16 |
| c:\BachKhoa\Kbase\database\init\02-project-schema.sql                                                            | MS SQL             |         50 |          0 |          6 |         56 |
| c:\BachKhoa\Kbase\database\init\03-document-schema.sql                                                           | MS SQL             |         18 |          0 |          3 |         21 |
| c:\BachKhoa\Kbase\database\migrations\20260527_project_member_invitations.sql                                    | MS SQL             |         34 |          0 |          5 |         39 |
| c:\BachKhoa\Kbase\desktop.ini                                                                                    | Ini                |          2 |          0 |          1 |          3 |
| c:\BachKhoa\Kbase\docker-compose.yml                                                                             | YAML               |        144 |        131 |         21 |        296 |
| Total                                                                                                            |                    |     11,779 |        166 |        814 |     12,759 |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
